Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,957.8,963.18,850.86,646.41,626.2,639.01,759.23
2,2407.18,1501.49,1691.91,1099.85,974.44,894.12,981.77
3,8193.67,5110.09,7963.48,3312.51,3302.04,2690.26,4288.36
4,18825.05,11864.58,12862.69,7543.33,7429.57,7284.11,10024.89
5,10754.42,8704.52,7632.53,3437.04,3016.17,3287.15,3936.36
6,14134.88,8066.29,9156.59,8102.38,3993.25,4343.88,5815.21
7,902.52,740.36,873.73,529.71,528.52,351.46,643.19
8,5677.25,3621.49,4110.23,2123.68,2639.18,2089.05,2879.68
