Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,957.8,826.44,850.86,646.41,626.2,639.01,759.23
2,2563.63,1501.49,1691.91,901.4,833.09,894.12,1155.09
3,8193.67,5110.09,6106.68,3312.51,3302.04,3237.39,4288.36
4,18825.05,11864.58,12862.69,7543.33,7429.57,7284.11,10024.89
5,10529.67,6387.67,7632.53,3437.04,3016.17,3287.15,4602.53
6,14134.88,8066.29,9156.59,4727.56,3993.25,4343.88,5815.21
7,902.52,740.36,773.11,529.71,528.52,526.21,643.19
8,5609.6,3621.49,4110.23,2123.68,1951.45,2089.05,2879.68
