Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,1058.99,806.62,1029.56,550.34,474.33,566.31,587.91
2,1914.54,1604.56,1883.38,802.7,851.96,799.87,802.23
3,1444.78,1130.49,1343.62,666.31,653.83,670.57,848.13
4,2983.77,1899.58,2121.06,768.28,982.69,782.9,1180.74
5,43889.95,21942.66,43438.99,6182.04,869.89,6266.98,16782.7
6,13510.74,12729.4,12729.4,2597.15,2525.17,2340.17,2118.76
7,39048.76,36842.51,39203.75,5787.86,5955.38,5442.21,4705.29
8,85067.42,81370.56,85733.38,15294.68,16967.84,13769.09,11564.1
