Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,1457.71,1001.56,1280.31,527.1,536.53,538.77,690.15
2,2275.2,1411.39,1723.95,652.98,851.96,686.02,972.9
3,2264.74,1429.92,1731.74,662.28,879.66,665.11,993.36
4,3123.6,1962.89,2123.7,774.38,1070.66,784.41,1242.09
5,61785.35,22736.22,70279.88,6397.67,7470.81,6537.06,20324.56
6,14755.53,9131.46,7904.14,2588.6,1308.28,2714.86,3454.43
7,41402.19,26688.21,21087.88,5597.72,5970.02,5545.46,8646.55
8,87507.12,57878.02,45417.5,15672.3,977.43,13952.11,22242.66
