Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT,Kilby,SaveMatch
1,954.14,963.18,920.69,1022.54,786.07,645.99,712.66,1157.68,1418.77
2,2407.18,2269.18,2474.59,1099.85,974.44,790.09,981.77,1406.47,1293.48
3,8031.91,8200.01,7963.48,5562.36,3318.6,2690.26,3603.04,4716.17,8403.63
4,18571.65,18718.21,18357.21,18709.53,7466.85,6339.63,8419.52,10813.19,20070.49
5,10754.42,8704.52,10795.79,4930.64,4024.24,3664.36,3936.36,6876.3,6286.74
6,15116.31,13267.24,14979.95,8102.38,6021.26,4952.36,5308.3,8611.26,10028.45
7,853.62,877.89,873.73,735.19,602.23,351.46,586.94,839.98,792.08
8,5677.25,4798.05,5763.37,2686.37,2639.18,1834.98,2586.14,3784.55,3726.6
