Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT,Kilby,SaveMatch
1,1058.99,806.62,1029.56,550.34,474.33,566.31,587.91,1043.87,839.36
2,1914.54,1604.56,1883.38,802.7,851.96,799.87,802.23,1211.89,1133.9
3,1444.78,1130.49,1343.62,666.31,653.83,670.57,848.13,1826.66,1170.71
4,2983.77,1899.58,2121.06,768.28,982.69,782.9,1180.74,1533.05,1613.45
5,43889.95,21942.66,43438.99,6182.04,869.89,6266.98,16782.7,31860.28,35223.4
6,13510.74,12729.4,12729.4,2597.15,2525.17,2340.17,2118.76,6148.38,6320.81
7,39048.76,36842.51,39203.75,5787.86,5955.38,5442.21,4705.29,18757.2,13838.25
8,85067.42,81370.56,85733.38,15294.68,16967.84,13769.09,11564.1,36976.48,331177.03
