Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT,Kilby,SaveMatch
1,1449.5,1393.7,1535.37,610.36,580.79,603.98,822.49,1208.06,956.92
2,2402.12,2337.93,2529.72,1038.77,820.58,966.86,1344.54,1712.69,1411.35
3,3136.67,2971.46,3323.73,1106.5,879.66,1125.96,1267.31,2124.76,1678.23
4,6054.28,2973.18,6381.68,998.48,1070.66,1216.31,1580.5,3385.09,1590.34
5,3752.04,2174.34,3873.64,1101.46,747.81,983.85,1208.92,2682.64,1316.76
6,6236.11,5970.13,6634.31,1888.82,1308.28,1876.13,2084.52,3858.2,1993.44
7,1475.73,1466.58,1601.22,786.99,597.02,631.11,813.44,1199.14,901.23
8,4612.43,4310.24,4944.19,1189.75,977.43,1264.43,1634.92,2733.57,1876.91
