Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,1702.14,1233.61,1367.2,575.52,561.64,611.59,854.59
2,2392.85,1749.63,1851.7,786.85,724.73,848.9,978.99
3,2310.81,632.28,1740.6,671.75,631.85,664.63,1004.02
4,3256.04,2049.58,2158.63,859.02,762.48,835.15,1286.96
5,58923.64,20534.06,70053.21,6258.79,5374.23,6266.93,17953.3
6,14832.38,9341.01,7745.33,2936.79,2629.57,2947.41,3582.78
7,42051.26,27979.17,22205.85,7648,6871.46,7420.82,9773.22
8,87593.49,58727.53,46104.44,17235.64,13678.65,14948.77,19176.97
