Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,1702.14,1326.55,1367.2,558.89,561.64,611.59,854.59
2,2190.94,1749.63,1851.7,786.85,733.2,801.6,806.83
3,2310.81,2081.68,2247.21,674.88,631.85,664.63,1004.02
4,3003.18,2049.58,3043.83,859.02,762.48,835.15,1286.96
5,58923.64,20534.06,70053.21,6258.79,5374.23,6266.93,17953.3
6,14447.08,13590.27,7745.33,2885.78,2629.57,2947.41,3582.78
7,42051.26,40768.37,22205.85,7648,7261.48,7256.86,6239.59
8,89891.21,58727.53,45755.14,17235.64,13678.65,14948.77,19176.97
