Problema,Random,NN,Sweep,SaveSeq,SaveParall,MJ,CMT
1,1470.02,1326.55,1435.45,558.89,561.46,597.38,598.96
2,2190.94,2195.57,2293.26,787.61,733.2,801.6,806.83
3,2199.51,2081.68,2247.21,674.88,669.99,666.86,800.91
4,3003.18,2577.62,3043.83,855.49,785.84,814.49,1005.45
5,42857.41,20577.08,40998.82,6134.72,5386.65,6499.42,16421.59
6,14447.08,13590.27,14552.85,2885.78,2689.54,2689.13,2391.66
7,42733.71,40768.37,42050.21,8129.33,7261.48,7256.86,6239.59
8,89891.21,85460.28,45755.14,16998.52,13678.65,15288.58,13386.91
